unique_name,name,bat_style,bowl_style
A Uniyal,Amit Uniyal,Left hand Bat,Left arm Medium
P Simran Singh,Prabhsimran Singh,Right hand Bat, 
KR Sen,Kuldeep Rampal Sen,Right hand Bat,Right arm Fast
Joginder Sharma,Joginder Sharma,Right hand Bat,Right arm Fast medium
PD Salt,Philip Dean Salt,Right hand Bat,Right arm Offbreak
Sachin Baby,Sachin Baby,Left hand Bat,Right arm Offbreak
D Brevis,Dewald Brevis,Right hand Bat,Legbreak
SE Rutherford,Sherfane Eviston Rutherford,Left hand Bat,Right arm Fast medium
M Jansen,Marco Jansen,Right hand Bat,Left arm Medium fast
FH Edwards,Fidel Henderson Edwards,Right hand Bat,Right arm Fast
MC Henriques,Moises Constantino Henriques,Right hand Bat,Right arm Fast medium
BJ Hodge,Bradley John Hodge,Right hand Bat,Right arm Offbreak
T Henderson,Tyron Henderson,Right hand Bat,Right arm Fast medium
GR Napier,Graham Richard Napier,Right hand Bat,Right arm Medium
CK Langeveldt,Charl Kenneth Langeveldt,Right hand Bat,Right arm Fast medium
PA Patel,Parthiv Ajay Patel,Left hand Bat,Right arm Offbreak
J Yadav,Jayant Yadav,Right hand Bat,Right arm Offbreak
FA Allen,Fabian Anthony Allen,Right hand Bat,Slow Left arm Orthodox
A Dananjaya,Mahamarakkala Kurukulasooriya Patabendige Akila Dananjaya Perera,Left hand Bat,"Right arm Offbreak, Legbreak"
Azhar Mahmood,Azhar Mahmood Sagar,Right hand Bat,Right arm Fast medium
S Chanderpaul,Shivnarine Chanderpaul,Left hand Bat,Legbreak
Noor Ahmad,Noor Ahmad Lakanwal,Right hand Bat,Left arm Wrist spin
AR Patel,Axar Rajeshbhai Patel,Left hand Bat,Slow Left arm Orthodox
B Akhil,Balachandra Akhil,Right hand Bat,Right arm Medium fast
V Shankar,Vijay Shankar,Right hand Bat,Right arm Medium
J Botha,Johan Botha,Right hand Bat,Right arm Offbreak
Anuj Rawat,Anuj Rawat,Left hand Bat, 
Mohammad Ashraful,Mohammad Ashraful,Right hand Bat,"Right arm Offbreak, Legbreak"
Kuldeep Yadav,Kuldeep Yadav,Left hand Bat,Left arm Wrist spin
S Kaul,Siddarth Kaul,Right hand Bat,Right arm Medium
Abishek Porel,Abishek Porel,Left hand Bat, 
MJ Henry,Matthew James Henry,Right hand Bat,Right arm Fast medium
TL Seifert,Tim Louis Seifert,Right hand Bat, 
Kamran Khan,Kamran Khan,Left hand Bat,Left arm Medium fast
AB Barath,Adrian Boris Barath,Right hand Bat,Right arm Offbreak
Salman Butt,Salman Butt,Left hand Bat,Right arm Offbreak
MC Juneja,Manprit Charanjit Juneja,Right hand Bat,Right arm Offbreak
T Kohli,Taruwar Sushil Kohli,Right hand Bat,Right arm Medium
TU Deshpande,Tushar Uday Deshpande,Left hand Bat,Right arm Medium
M Theekshana,Morawakage Maheesh Theekshana,Right hand Bat,Right arm Offbreak
Shubman Gill,Shubman Gill,Right hand Bat,Right arm Offbreak
V Sehwag,Virender Sehwag,Right hand Bat,Right arm Offbreak
U Kaul,Uday Kaul,Left hand Bat, 
Shivam Sharma,Shivam Sharma,Right hand Bat,Right arm Offbreak
NJ Maddinson,Nicolas James Maddinson,Left hand Bat,Slow Left arm Orthodox
JC Archer,Jofra Chioke Archer,Right hand Bat,Right arm Fast
Abdul Basith,Pappanayil Abdul Basith,Right hand Bat,Right arm Offbreak
DJ Thornely,Dominic John Thornely,Right hand Bat,"Right arm Medium, Right arm Offbreak"
Nithish Kumar Reddy,Kaki Nitish Kumar Reddy,Right hand Bat,Right arm Medium fast
PP Ojha,Pragyan Prayash Ojha,Left hand Bat,Slow Left arm Orthodox
S Tyagi,Sudeep Tyagi,Right hand Bat,Right arm Medium
RM Patidar,Rajat Manohar Patidar,Right hand Bat,Right arm Offbreak
KC Sangakkara,Kumar Chokshanada Sangakkara,Left hand Bat,Right arm Offbreak
DR Shorey,Dhruv Ranjan Shorey,Right hand Bat,Right arm Offbreak
UBT Chand,Unmukt Bharat Thakur Chand,Right hand Bat,Right arm Offbreak
M Kartik,Murali Kartik,Left hand Bat,Slow Left arm Orthodox
JDS Neesham,James Douglas Sheahan Neesham,Left hand Bat,Right arm Medium fast
CL White,Cameron Leon White,Right hand Bat,Legbreak Googly
Navdeep Saini,Navdeep Amarjeet Saini,Right hand Bat,Right arm Fast
PP Chawla,Piyush Pramod Chawla,Left hand Bat,Legbreak
M Ntini,Makhaya Ntini,Right hand Bat,Right arm Fast
ER Dwivedi,Eklavya Rakesh Dwivedi,Right hand Bat, 
BJ Haddin,Bradley James Haddin,Right hand Bat, 
DJ Willey,David Jonathan Willey,Left hand Bat,Left arm Fast medium
Shahid Afridi,Sahibzada Mohammad Shahid Khan Afridi,Right hand Bat,Legbreak Googly
HH Pandya,Hardik Himanshu Pandya,Right hand Bat,Right arm Medium fast
ML Hayden,Matthew Lawrence Hayden,Left hand Bat,Right arm Medium
M Rawat,Mahesh Rawat,Right hand Bat, 
CK Kapugedera,Chamara Kantha Kapugedera,Right hand Bat,Right arm Medium
Umar Gul,Umar Gul,Right hand Bat,Right arm Fast medium
SPD Smith,Steven Peter Devereux Smith,Right hand Bat,Legbreak Googly
Mustafizur Rahman,Mustafizur Rahman,Left hand Bat,Left arm Fast medium
Suyash Sharma,Suyash Sharma,Right hand Bat,Legbreak Googly
SP Jackson,Sheldon Philip Jackson,Right hand Bat, 
SS Agarwal,Shubham Sanjay Agarwal,Right hand Bat,Legbreak Googly
PP Shaw,Prithvi Pankaj Shaw,Right hand Bat,Right arm Offbreak
Y Venugopal Rao,Yalaka Venugopal Rao,Right hand Bat,Right arm Offbreak
Gurnoor Brar,Gurnoor Brar,Left hand Bat,Right arm Fast
NV Ojha,Naman Vinaykumar Ojha,Right hand Bat, 
KL Rahul,Kannaur Lokesh Rahul,Right hand Bat, 
P Kumar,Praveenkumar Sakat Singh,Right hand Bat,Right arm Medium
RE Levi,Richard Ernst Levi,Right hand Bat,Right arm Medium
S Kaushik,Shivil Kaushik,Right hand Bat,Left arm Wrist spin
JJ Bumrah,Jasprit Jasbirsingh Bumrah,Right hand Bat,Right arm Fast
NM Coulter-Nile,Nathan Mitchell Coulter-Nile,Right hand Bat,Right arm Fast
LA Pomersbach,Luke Anthony Pomersbach,Left hand Bat,Right arm Offbreak
Mandeep Singh,Mandeep Singh,Right hand Bat,Right arm Medium
R McLaren,Ryan McLaren,Left hand Bat,Right arm Medium fast
BB McCullum,Brendon Barrie McCullum,Right hand Bat,"Right arm Medium, Right arm Offbreak"
S Anirudha,Srikkanth Anirudha,Right hand Bat, 
ND Doshi,Nayan Dilip Doshi,Right hand Bat,Slow Left arm Orthodox
DL Chahar,Deepak Lokandersingh Chahar,Right hand Bat,Right arm Medium
Umran Malik,Umran Malik,Right hand Bat,Right arm Fast
K Khejroliya,Kulwant Khejroliya,Left hand Bat,Left arm Medium fast
P Amarnath,Palani Amarnath,Right hand Bat,Right arm Medium
RJ Quiney,Robert John Quiney,Left hand Bat,Right arm Medium
SM Katich,Simon Mathew Katich,Left hand Bat,Left arm Wrist spin
M Morkel,Morne Morkel,Left hand Bat,Right arm Fast
RG More,Ronit Gajanan More,Right hand Bat,Right arm Medium
M de Lange,Marchant de Lange,Right hand Bat,Right arm Fast
MJ McClenaghan,Mitchell John McClenaghan,Left hand Bat,Left arm Fast medium
N Wadhera,Nehal Wadhera,Left hand Bat,Legbreak
RR Sarwan,Ramnaresh Ronnie Sarwan,Right hand Bat,Legbreak
AD Mathews,Angelo Davis Mathews,Right hand Bat,Right arm Medium
Simarjeet Singh,Simarjeet Singh,Right hand Bat,Right arm Medium fast
KS Sharma,Karan Sunny Sharma,Right hand Bat,Right arm Offbreak
N Rana,Nitish Rana,Left hand Bat,"Right arm Medium, Right arm Offbreak, Legbreak"
WA Mota,Wilkin Arvind Mota,Right hand Bat,Right arm Medium
YA Abdulla,Yusuf Adam Abdulla,Left hand Bat,Left arm Fast medium
MA Khote,Musavir Asmat Khote,Right hand Bat,Right arm Medium
RJW Topley,Reece James William Topley,Right hand Bat,Left arm Fast medium
PBB Rajapaksa,Pramod Bhanuka Bandara Rajapaksa,Left hand Bat,Right arm Medium
MS Gony,Manpreet Singh Gony,Right hand Bat,Right arm Medium
TM Dilshan,Tillakaratne Mudiyanselage Dilshan,Right hand Bat,Right arm Offbreak
Mohammed Siraj,Mohammed Siraj,Right hand Bat,Right arm Fast
A Chandila,Ajit  Chandila,Right hand Bat,Right arm Offbreak
Yash Thakur,Yash Ravisingh Thakur,Right hand Bat,Right arm Fast medium
P Parameswaran,Prasanth Parameswaran,Right hand Bat,Left arm Medium
SE Bond,Shane Edward Bond,Right hand Bat,Right arm Fast
Avesh Khan,Avesh Khan,Right hand Bat,Right arm Fast medium
SM Harwood,Shane Michael Harwood,Right hand Bat,Right arm Fast medium
KP Appanna,Kotarangada Prabhu Appanna,Right hand Bat,Slow Left arm Orthodox
MN van Wyk,Morne Nico van Wyk,Right hand Bat,Slow Left arm Orthodox
SS Shaikh,Shoaib Shabbir Shaikh,Right hand Bat,Right arm Medium
JJ Roy,Jason Jonathan Roy,Right hand Bat, 
DM Bravo,Darren Michael Bravo,Left hand Bat,Right arm Medium
AC Thomas,Alfonso Clive Thomas,Right hand Bat,Right arm Fast medium
CH Gayle,Christopher Henry Gayle,Left hand Bat,Right arm Offbreak
HF Gurney,Harry Frederick Gurney,Right hand Bat,Left arm Fast medium
